Country,Year,Attack_ID,Target Industry,Financial Loss in Million  Doller,  Number of Affected Users  ,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Australia,2016,SI657,Banking,1.73 ," 91,560 ",Hacker Group,Weak Passwords,AI-based Detection,35
USA,2023,ML345,Banking,35.91 ," 91,974 ",Hacker Group,Zero-day,AI-based Detection,41
China,2021,RWS34,Government,5.96 ," 92,237 ",Nation-state,Weak Passwords,AI-based Detection,47
Australia,2023,PH01,Retail,78.28 ," 92,925 ",Insider,Zero-day,VPN,53
Australia,2024,PH01,Education,93.32 ," 93,185 ",Unknown,Unpatched Software,VPN,14
Japan,2020,RWS34,Healthcare,41.88 ," 93,314 ",Hacker Group,Unpatched Software,VPN,24
USA,2019,ML345,Education,1.05 ," 93,580 ",Nation-state,Unpatched Software,VPN,21
USA,2018,PH01,Telecommunications,42.46 ," 93,999 ",Nation-state,Social Engineering,Encryption,65
Australia,2016,MIM65,IT,84.46 ," 94,162 ",Unknown,Weak Passwords,Firewall,15
France,2017,SI657,Healthcare,27.42 ," 94,235 ",Insider,Social Engineering,Antivirus,29
China,2024,DD678,Retail,13.17 ," 95,351 ",Nation-state,Unpatched Software,Antivirus,11
India,2018,DD678,Government,65.11 ," 95,378 ",Insider,Social Engineering,Antivirus,67
Australia,2017,RWS34,Education,66.56 ," 95,750 ",Nation-state,Zero-day,Antivirus,44
China,2023,SI657,Banking,2.46 ," 95,779 ",Nation-state,Zero-day,VPN,43
France,2021,PH01,Retail,45.67 ," 95,873 ",Unknown,Unpatched Software,Antivirus,50
India,2024,SI657,Retail,48.83 ," 96,083 ",Unknown,Weak Passwords,Firewall,17
France,2019,PH01,Telecommunications,28.88 ," 96,640 ",Unknown,Social Engineering,Antivirus,60
Japan,2020,DD678,Healthcare,25.83 ," 96,706 ",Insider,Unpatched Software,Firewall,42
USA,2019,ML345,Government,34.40 ," 98,018 ",Insider,Zero-day,VPN,55
India,2018,SI657,Healthcare,47.15 ," 98,266 ",Insider,Social Engineering,Firewall,18
Germany,2020,SI657,Retail,70.09 ," 98,500 ",Hacker Group,Unpatched Software,Antivirus,30
UK,2015,PH01,Healthcare,81.75 ," 98,634 ",Unknown,Social Engineering,VPN,5
Brazil,2018,ML345,Banking,87.13 ," 99,178 ",Nation-state,Unpatched Software,Antivirus,27
China,2015,RWS34,Government,86.88 ," 99,312 ",Unknown,Zero-day,AI-based Detection,60
France,2017,DD678,Government,86.82 ," 99,728 ",Nation-state,Unpatched Software,VPN,44
Brazil,2018,SI657,Retail,84.79 ," 99,876 ",Insider,Unpatched Software,Firewall,56
India,2021,SI657,IT,52.16 ," 1,00,105 ",Unknown,Zero-day,Firewall,56
UK,2021,DD678,Banking,97.03 ," 1,00,486 ",Nation-state,Unpatched Software,Firewall,31
Brazil,2018,DD678,Retail,1.58 ," 1,00,633 ",Insider,Zero-day,Encryption,53
UK,2020,RWS34,Education,35.16 ," 1,00,749 ",Unknown,Zero-day,Firewall,62
Australia,2017,MIM65,Banking,54.38 ," 1,00,855 ",Unknown,Social Engineering,VPN,2
UK,2020,ML345,IT,44.05 ," 1,00,972 ",Nation-state,Unpatched Software,Antivirus,54
Australia,2024,DD678,IT,82.49 ," 1,02,295 ",Unknown,Weak Passwords,VPN,46
Brazil,2016,ML345,Education,83.93 ," 1,02,797 ",Unknown,Weak Passwords,Firewall,17
China,2015,DD678,Education,94.74 ," 1,03,079 ",Nation-state,Social Engineering,Antivirus,57
Russia,2022,DD678,Healthcare,58.93 ,"  1,04,121  ",Hacker Group,Zero-day,Firewall,15
France,2015,PH01,Banking,64.62 ," 1,04,619 ",Insider,Unpatched Software,Antivirus,68
Japan,2015,MIM65,Telecommunications,79.88 ,"  1,04,759  ",Hacker Group,Zero-day,AI-based Detection,12
China,2022,ML345,Telecommunications,11.39 ," 1,04,772 ",Unknown,Social Engineering,Firewall,43
France,2016,MIM65,Healthcare,23.99 ," 1,06,126 ",Unknown,Weak Passwords,Antivirus,19
Russia,2022,MIM65,Education,96.44 ," 1,06,169 ",Nation-state,Unpatched Software,Encryption,28
Germany,2017,RWS34,Government,80.70 ," 1,07,009 ",Nation-state,Social Engineering,Encryption,67
Germany,2020,RWS34,IT,54.65 ," 1,07,180 ",Nation-state,Zero-day,Antivirus,68
USA,2024,PH01,IT,57.24 ," 1,07,681 ",Unknown,Zero-day,VPN,18
Australia,2015,PH01,Healthcare,76.40 ," 1,08,767 ",Nation-state,Unpatched Software,VPN,48
Japan,2020,MIM65,Banking,23.55 ," 1,08,886 ",Insider,Unpatched Software,Antivirus,51
USA,2023,ML345,Banking,13.99 ," 1,09,083 ",Nation-state,Weak Passwords,Antivirus,49
Australia,2018,DD678,Education,64.62 ," 1,09,439 ",Insider,Zero-day,Antivirus,32
Australia,2024,PH01,Education,74.75 ," 1,09,907 ",Insider,Social Engineering,VPN,5
Russia,2020,MIM65,Banking,54.03 ," 1,10,260 ",Unknown,Weak Passwords,VPN,66
Australia,2019,MIM65,Banking,47.67 ," 1,12,313 ",Insider,Social Engineering,Firewall,63
Germany,2019,PH01,Education,90.91 ," 1,12,635 ",Insider,Weak Passwords,Firewall,55
Germany,2022,SI657,Government,47.92 ," 1,12,688 ",Nation-state,Social Engineering,VPN,15
USA,2016,DD678,IT,18.48 ,"  1,12,881  ",Hacker Group,Social Engineering,VPN,32
India,2016,RWS34,Healthcare,37.12 ,"  1,13,404  ",Hacker Group,Social Engineering,Antivirus,11
USA,2023,DD678,Retail,59.69 ,"  1,13,612  ",Hacker Group,Zero-day,VPN,70
India,2017,PH01,Retail,97.87 ," 1,13,745 ",Unknown,Unpatched Software,Encryption,2
Australia,2018,DD678,Banking,64.29 ," 1,13,775 ",Insider,Weak Passwords,AI-based Detection,14
Brazil,2023,PH01,Healthcare,14.51 ," 1,13,777 ",Nation-state,Weak Passwords,VPN,27
India,2024,ML345,Retail,56.19 ," 1,14,357 ",Insider,Zero-day,AI-based Detection,58
Russia,2023,DD678,Telecommunications,57.25 ," 1,15,138 ",Unknown,Unpatched Software,Encryption,42
UK,2023,ML345,IT,49.13 ," 1,16,201 ",Nation-state,Zero-day,Firewall,14
UK,2024,ML345,Education,64.05 ," 1,16,714 ",Insider,Social Engineering,Encryption,37
France,2023,ML345,Banking,9.99 ," 1,16,840 ",Unknown,Zero-day,Firewall,51
India,2019,DD678,Telecommunications,36.86 ," 1,16,906 ",Insider,Social Engineering,VPN,7
USA,2015,MIM65,IT,46.27 ," 1,17,231 ",Unknown,Unpatched Software,AI-based Detection,28
USA,2015,SI657,Banking,42.77 ," 1,17,454 ",Insider,Unpatched Software,Firewall,19
China,2018,ML345,IT,49.19 ," 1,17,543 ",Insider,Social Engineering,Encryption,22
Brazil,2016,MIM65,Retail,14.04 ," 1,17,819 ",Nation-state,Zero-day,Antivirus,15
UK,2024,RWS34,Telecommunications,9.74 ," 1,18,118 ",Unknown,Social Engineering,VPN,17
Japan,2015,ML345,Telecommunications,40.38 ," 1,18,734 ",Insider,Unpatched Software,AI-based Detection,21
Brazil,2019,DD678,Education,44.51 ," 1,19,319 ",Nation-state,Zero-day,Firewall,9
France,2021,MIM65,Education,20.57 ," 1,19,348 ",Nation-state,Unpatched Software,Firewall,48
Germany,2017,RWS34,Telecommunications,49.56 ," 1,19,598 ",Insider,Unpatched Software,Encryption,43
UK,2016,MIM65,Government,62.90 ,"  1,19,785  ",Hacker Group,Unpatched Software,Encryption,14
Australia,2015,ML345,Retail,99.41 ," 1,20,048 ",Insider,Zero-day,Antivirus,12
France,2016,DD678,Banking,77.29 ," 1,20,341 ",Nation-state,Zero-day,VPN,45
Australia,2022,PH01,Banking,64.31 ," 1,20,789 ",Nation-state,Zero-day,Encryption,36
Brazil,2022,MIM65,Banking,59.43 ," 1,21,504 ",Insider,Weak Passwords,AI-based Detection,32
Japan,2022,RWS34,Government,86.84 ," 1,22,651 ",Insider,Weak Passwords,AI-based Detection,59
Japan,2017,ML345,Banking,9.76 ," 1,22,728 ",Unknown,Zero-day,AI-based Detection,7
China,2016,DD678,IT,18.96 ," 1,22,866 ",Insider,Unpatched Software,VPN,46
Russia,2019,RWS34,IT,80.18 ," 1,23,757 ",Insider,Social Engineering,Encryption,54
USA,2023,ML345,Telecommunications,23.98 ," 1,23,866 ",Nation-state,Zero-day,Firewall,43
Australia,2016,ML345,Healthcare,80.22 ," 1,24,155 ",Nation-state,Weak Passwords,Encryption,40
Germany,2015,PH01,Telecommunications,47.04 ," 1,24,250 ",Insider,Zero-day,AI-based Detection,64
UK,2020,DD678,Retail,18.52 ," 1,25,100 ",Unknown,Weak Passwords,VPN,61
Germany,2022,ML345,Retail,60.85 ," 1,25,300 ",Insider,Weak Passwords,AI-based Detection,11
Australia,2021,RWS34,Healthcare,91.80 ," 1,25,309 ",Unknown,Social Engineering,Antivirus,13
Japan,2019,SI657,IT,89.81 ," 1,26,120 ",Unknown,Social Engineering,Encryption,39
Japan,2017,RWS34,Government,9.24 ," 1,26,143 ",Unknown,Weak Passwords,Antivirus,35
Australia,2021,DD678,IT,47.83 ," 1,26,709 ",Unknown,Weak Passwords,Antivirus,45
Australia,2019,RWS34,Banking,15.21 ," 1,26,770 ",Insider,Weak Passwords,Encryption,67
Brazil,2021,DD678,Banking,14.72 ," 1,26,781 ",Insider,Weak Passwords,Antivirus,32
Australia,2023,RWS34,Education,94.86 ," 1,27,127 ",Unknown,Social Engineering,Encryption,47
UK,2019,DD678,Healthcare,81.91 ," 1,27,817 ",Nation-state,Weak Passwords,Antivirus,66
UK,2020,RWS34,Banking,49.23 ," 1,28,594 ",Nation-state,Weak Passwords,Firewall,53
India,2020,MIM65,Retail,84.77 ,"  1,29,144  ",Hacker Group,Weak Passwords,Antivirus,25
China,2017,SI657,Retail,61.83 ,"  1,29,677  ",Hacker Group,Unpatched Software,Firewall,60
Japan,2019,MIM65,IT,42.34 ," 1,30,309 ",Insider,Zero-day,AI-based Detection,56
Russia,2021,DD678,IT,78.76 ," 1,30,413 ",Unknown,Social Engineering,Encryption,66
Russia,2020,DD678,Healthcare,44.32 ," 1,30,510 ",Unknown,Social Engineering,AI-based Detection,66
France,2022,RWS34,Education,59.00 ,"  1,31,307  ",Hacker Group,Weak Passwords,AI-based Detection,46
China,2022,PH01,Retail,31.35 ," 1,31,361 ",Insider,Weak Passwords,Firewall,39
India,2024,RWS34,IT,33.66 ," 1,31,900 ",Unknown,Unpatched Software,Antivirus,21
Brazil,2017,DD678,Government,18.69 ," 1,31,940 ",Nation-state,Weak Passwords,Antivirus,34
France,2016,DD678,Banking,25.81 ," 1,32,286 ",Insider,Unpatched Software,Antivirus,66
Brazil,2022,PH01,Healthcare,75.08 ," 1,32,520 ",Unknown,Zero-day,Antivirus,56
China,2024,ML345,Education,72.35 ,"  1,32,726  ",Hacker Group,Zero-day,Firewall,55
China,2023,PH01,Banking,33.27 ," 1,33,315 ",Nation-state,Weak Passwords,AI-based Detection,25
UK,2019,PH01,Government,79.79 ,"  1,33,632  ",Hacker Group,Weak Passwords,Firewall,8
France,2018,PH01,Banking,89.77 ," 1,34,364 ",Nation-state,Zero-day,Antivirus,63
Brazil,2021,DD678,Education,80.79 ," 1,34,998 ",Unknown,Zero-day,AI-based Detection,42
Germany,2017,SI657,Healthcare,12.56 ," 1,35,042 ",Nation-state,Weak Passwords,Antivirus,13
USA,2022,RWS34,Government,33.71 ," 1,35,105 ",Unknown,Unpatched Software,VPN,48
UK,2022,PH01,Banking,57.89 ," 1,35,941 ",Nation-state,Social Engineering,AI-based Detection,7
Japan,2020,DD678,Healthcare,73.24 ," 1,36,762 ",Unknown,Zero-day,VPN,41
France,2023,PH01,IT,15.49 ,"  1,38,639  ",Hacker Group,Unpatched Software,VPN,14
Russia,2016,ML345,Government,37.07 ,"  1,38,915  ",Hacker Group,Weak Passwords,VPN,44
Australia,2020,RWS34,Telecommunications,97.90 ," 1,39,407 ",Insider,Unpatched Software,Antivirus,41
UK,2023,MIM65,IT,20.35 ,"  1,40,061  ",Hacker Group,Weak Passwords,AI-based Detection,42
Brazil,2017,DD678,Retail,81.63 ,"  1,40,371  ",Hacker Group,Zero-day,Encryption,13
Brazil,2016,DD678,Education,96.98 ," 1,40,812 ",Nation-state,Unpatched Software,VPN,71
USA,2015,SI657,Education,98.78 ," 1,40,958 ",Insider,Social Engineering,AI-based Detection,51
Japan,2017,PH01,Government,89.97 ,"  1,41,115  ",Hacker Group,Zero-day,AI-based Detection,9
Japan,2020,MIM65,Education,29.58 ," 1,41,411 ",Insider,Unpatched Software,AI-based Detection,58
India,2024,ML345,Banking,14.01 ," 1,41,437 ",Nation-state,Weak Passwords,Firewall,10
India,2019,PH01,Telecommunications,75.23 ," 1,41,627 ",Insider,Unpatched Software,AI-based Detection,64
UK,2020,SI657,Retail,56.30 ," 1,42,291 ",Nation-state,Weak Passwords,VPN,29
Russia,2024,ML345,Education,83.29 ," 1,43,037 ",Insider,Unpatched Software,Firewall,47
China,2023,PH01,Retail,90.04 ," 1,43,728 ",Unknown,Zero-day,AI-based Detection,57
India,2021,RWS34,Education,20.26 ," 1,44,065 ",Insider,Unpatched Software,Firewall,62
India,2018,RWS34,Healthcare,11.57 ," 1,44,533 ",Unknown,Social Engineering,Encryption,67
UK,2016,PH01,Retail,13.68 ," 1,44,856 ",Unknown,Unpatched Software,Antivirus,13
UK,2015,DD678,Retail,94.19 ," 1,45,401 ",Insider,Unpatched Software,Antivirus,14
Japan,2018,DD678,IT,2.65 ," 1,45,427 ",Nation-state,Social Engineering,VPN,28
Russia,2018,SI657,Telecommunications,13.69 ," 1,46,100 ",Unknown,Social Engineering,Encryption,22
USA,2024,PH01,Government,58.64 ,"  1,46,937  ",Hacker Group,Social Engineering,Firewall,10
India,2018,SI657,Government,80.00 ," 1,47,384 ",Unknown,Zero-day,Firewall,54
Australia,2021,MIM65,Government,42.24 ," 1,47,589 ",Insider,Unpatched Software,Antivirus,31
India,2019,DD678,Banking,46.98 ," 1,47,761 ",Unknown,Unpatched Software,AI-based Detection,68
Germany,2018,DD678,Retail,80.85 ," 1,48,209 ",Insider,Weak Passwords,Antivirus,54
UK,2017,DD678,Education,40.18 ," 1,48,447 ",Insider,Zero-day,AI-based Detection,39
Russia,2019,ML345,Banking,98.59 ," 1,48,622 ",Nation-state,Weak Passwords,Firewall,6
Germany,2019,SI657,Healthcare,91.72 ,"  1,49,171  ",Hacker Group,Zero-day,VPN,64
Brazil,2023,PH01,Banking,71.86 ," 1,51,590 ",Nation-state,Zero-day,Antivirus,30
Australia,2022,ML345,Banking,74.77 ," 1,51,599 ",Insider,Zero-day,Encryption,18
Germany,2022,RWS34,Telecommunications,79.77 ," 1,51,930 ",Unknown,Zero-day,Encryption,4
UK,2018,RWS34,Government,6.60 ,"  1,52,302  ",Hacker Group,Social Engineering,AI-based Detection,26
Australia,2018,DD678,Retail,40.00 ," 1,52,435 ",Unknown,Weak Passwords,Firewall,26
Germany,2023,RWS34,Healthcare,84.92 ," 1,52,814 ",Nation-state,Social Engineering,AI-based Detection,33
India,2022,SI657,IT,32.73 ,"  1,53,154  ",Hacker Group,Zero-day,VPN,37
Germany,2016,PH01,Banking,40.18 ," 1,53,211 ",Nation-state,Weak Passwords,Encryption,43
UK,2017,RWS34,Retail,47.91 ," 1,53,257 ",Insider,Zero-day,Encryption,59
UK,2020,SI657,Government,53.76 ," 1,53,355 ",Unknown,Zero-day,Encryption,57
France,2020,DD678,Healthcare,58.80 ," 1,53,523 ",Insider,Social Engineering,Encryption,22
Russia,2018,SI657,Telecommunications,11.32 ," 1,53,618 ",Nation-state,Weak Passwords,VPN,29
Russia,2022,DD678,Banking,84.09 ,"  1,53,829  ",Hacker Group,Weak Passwords,VPN,6
Brazil,2020,MIM65,Education,71.35 ,"  1,54,966  ",Hacker Group,Zero-day,Antivirus,19
Brazil,2016,ML345,Healthcare,83.88 ," 1,55,059 ",Unknown,Unpatched Software,Antivirus,29
Germany,2024,RWS34,Telecommunications,17.92 ," 1,55,170 ",Insider,Zero-day,VPN,15
China,2022,MIM65,IT,85.30 ," 1,55,225 ",Unknown,Weak Passwords,Antivirus,13
Russia,2018,ML345,Retail,78.82 ," 1,55,353 ",Unknown,Weak Passwords,VPN,67
India,2021,DD678,Telecommunications,35.19 ," 1,55,426 ",Nation-state,Zero-day,Firewall,16
Germany,2022,SI657,Banking,89.74 ," 1,55,736 ",Nation-state,Social Engineering,Encryption,63
China,2021,SI657,IT,39.44 ," 1,55,768 ",Nation-state,Social Engineering,AI-based Detection,19
Australia,2023,MIM65,Telecommunications,66.91 ," 1,56,195 ",Nation-state,Unpatched Software,Firewall,58
USA,2017,DD678,Telecommunications,51.69 ," 1,56,213 ",Nation-state,Weak Passwords,VPN,9
USA,2020,DD678,IT,96.08 ," 1,56,275 ",Insider,Social Engineering,Encryption,24
UK,2024,PH01,Banking,30.39 ,"  1,56,576  ",Hacker Group,Unpatched Software,VPN,72
Russia,2024,DD678,Education,26.82 ,"  1,56,823  ",Hacker Group,Social Engineering,VPN,1
Brazil,2022,DD678,Retail,15.16 ," 1,57,034 ",Nation-state,Social Engineering,AI-based Detection,69
USA,2017,RWS34,Banking,42.19 ,"  1,57,313  ",Hacker Group,Unpatched Software,Antivirus,47
France,2016,RWS34,Healthcare,34.29 ," 1,57,547 ",Insider,Unpatched Software,AI-based Detection,29
India,2023,ML345,IT,54.21 ," 1,57,667 ",Insider,Weak Passwords,VPN,34
UK,2015,DD678,Telecommunications,32.92 ," 1,57,678 ",Nation-state,Unpatched Software,Antivirus,68
Australia,2023,ML345,Healthcare,37.73 ," 1,58,107 ",Unknown,Unpatched Software,AI-based Detection,43
Russia,2020,MIM65,Retail,74.11 ," 1,58,758 ",Nation-state,Zero-day,Antivirus,72
China,2017,RWS34,Education,64.93 ," 1,59,061 ",Insider,Weak Passwords,Firewall,12
Russia,2018,ML345,Banking,23.14 ," 1,59,475 ",Insider,Zero-day,Encryption,19
USA,2021,PH01,IT,38.20 ," 1,59,917 ",Insider,Zero-day,Antivirus,47
Japan,2017,SI657,Education,36.37 ," 1,61,579 ",Nation-state,Zero-day,Firewall,15
China,2016,SI657,Retail,96.28 ," 1,62,061 ",Insider,Zero-day,Firewall,32
Germany,2020,PH01,Healthcare,69.20 ,"  1,62,807  ",Hacker Group,Unpatched Software,Encryption,4
France,2020,ML345,Banking,12.25 ," 1,62,930 ",Insider,Unpatched Software,Firewall,13
Japan,2017,RWS34,Retail,49.75 ," 1,63,062 ",Unknown,Unpatched Software,AI-based Detection,43
Japan,2019,MIM65,Telecommunications,89.50 ," 1,63,110 ",Nation-state,Zero-day,Encryption,35
Australia,2016,MIM65,Government,31.92 ,"  1,63,602  ",Hacker Group,Unpatched Software,VPN,26
Germany,2018,PH01,Education,16.76 ," 1,63,839 ",Insider,Social Engineering,Encryption,19
Australia,2019,DD678,Healthcare,84.89 ," 1,63,975 ",Nation-state,Unpatched Software,Firewall,22
Japan,2021,SI657,Telecommunications,66.23 ," 1,64,032 ",Unknown,Social Engineering,Firewall,5
China,2022,RWS34,Education,70.44 ," 1,64,734 ",Nation-state,Unpatched Software,Firewall,7
Germany,2018,SI657,Telecommunications,4.20 ," 1,64,890 ",Insider,Weak Passwords,Encryption,61
China,2023,RWS34,Education,45.88 ," 1,64,890 ",Unknown,Weak Passwords,AI-based Detection,20
USA,2023,SI657,Education,77.96 ," 1,64,892 ",Insider,Weak Passwords,Firewall,63
UK,2016,SI657,Healthcare,63.93 ,"  1,65,204  ",Hacker Group,Social Engineering,Encryption,18
India,2024,PH01,IT,97.25 ," 1,65,316 ",Unknown,Zero-day,Encryption,61
Australia,2024,MIM65,Government,50.36 ," 1,65,496 ",Nation-state,Weak Passwords,Encryption,72
Japan,2017,DD678,Education,7.84 ," 1,65,722 ",Unknown,Unpatched Software,Encryption,23
China,2017,PH01,Government,38.87 ," 1,68,075 ",Insider,Social Engineering,AI-based Detection,52
China,2020,RWS34,Banking,98.05 ,"  1,68,617  ",Hacker Group,Unpatched Software,VPN,16
France,2024,PH01,Education,52.03 ," 1,68,684 ",Nation-state,Unpatched Software,VPN,27
India,2018,RWS34,Banking,11.19 ," 1,68,881 ",Insider,Social Engineering,AI-based Detection,5
UK,2019,DD678,Telecommunications,95.75 ," 1,68,951 ",Insider,Social Engineering,VPN,13
France,2021,ML345,Banking,47.14 ," 1,69,113 ",Insider,Weak Passwords,VPN,55
China,2023,PH01,IT,43.58 ," 1,69,152 ",Nation-state,Unpatched Software,Encryption,49
India,2022,DD678,IT,23.91 ," 1,69,310 ",Unknown,Weak Passwords,Encryption,36
Germany,2016,SI657,Telecommunications,48.77 ," 1,69,455 ",Insider,Zero-day,Antivirus,23
India,2022,RWS34,Education,57.52 ," 1,70,002 ",Unknown,Unpatched Software,AI-based Detection,54
Germany,2021,PH01,Banking,48.00 ," 1,70,032 ",Nation-state,Social Engineering,Encryption,24
UK,2024,PH01,Banking,66.65 ," 1,70,892 ",Unknown,Zero-day,AI-based Detection,47
France,2017,SI657,Education,14.54 ,"  1,71,095  ",Hacker Group,Zero-day,AI-based Detection,63
Brazil,2017,MIM65,IT,56.83 ," 1,71,305 ",Unknown,Unpatched Software,Firewall,54
China,2017,DD678,Government,57.34 ," 1,71,772 ",Nation-state,Social Engineering,Firewall,8
Brazil,2023,MIM65,Education,27.58 ,"  1,71,936  ",Hacker Group,Weak Passwords,VPN,70
Australia,2018,SI657,IT,19.14 ," 1,71,977 ",Unknown,Zero-day,Antivirus,44
Japan,2016,MIM65,Retail,58.77 ," 1,72,346 ",Nation-state,Social Engineering,AI-based Detection,51
India,2021,SI657,Retail,85.69 ," 1,72,469 ",Insider,Weak Passwords,Antivirus,16
China,2022,RWS34,Retail,36.48 ," 1,72,607 ",Unknown,Zero-day,VPN,60
Japan,2023,SI657,Healthcare,45.38 ," 1,72,628 ",Insider,Weak Passwords,Encryption,4
Australia,2019,DD678,Telecommunications,70.70 ," 1,72,782 ",Unknown,Social Engineering,VPN,2
Russia,2024,RWS34,Government,48.88 ,"  1,72,789  ",Hacker Group,Unpatched Software,VPN,10
Russia,2016,SI657,Government,43.75 ,"  1,73,441  ",Hacker Group,Social Engineering,Antivirus,43
Japan,2022,DD678,IT,20.16 ," 1,74,510 ",Insider,Zero-day,AI-based Detection,60
China,2019,RWS34,IT,68.02 ,"  1,75,038  ",Hacker Group,Weak Passwords,VPN,67
China,2019,RWS34,Retail,6.08 ," 1,75,261 ",Nation-state,Zero-day,VPN,64
Germany,2017,RWS34,Healthcare,32.00 ," 1,75,755 ",Insider,Weak Passwords,Firewall,30
Brazil,2024,SI657,Healthcare,41.05 ,"  1,75,957  ",Hacker Group,Zero-day,Antivirus,69
Germany,2021,RWS34,IT,25.85 ," 1,76,331 ",Insider,Weak Passwords,Antivirus,25
Brazil,2022,PH01,IT,92.58 ,"  1,76,386  ",Hacker Group,Unpatched Software,VPN,63
Germany,2016,PH01,IT,2.10 ," 1,76,471 ",Unknown,Zero-day,VPN,9
USA,2021,PH01,Education,6.01 ," 1,76,772 ",Insider,Unpatched Software,Firewall,6
France,2020,RWS34,Telecommunications,75.13 ," 1,77,097 ",Unknown,Unpatched Software,Encryption,15
UK,2017,MIM65,Government,48.90 ," 1,77,154 ",Unknown,Zero-day,Antivirus,68
Russia,2018,RWS34,Education,66.33 ," 1,77,570 ",Nation-state,Social Engineering,Encryption,72
France,2020,RWS34,Healthcare,3.27 ," 1,78,268 ",Nation-state,Unpatched Software,Antivirus,2
